date, hour, weather, temp
2022-03-13, 1, 曇り, 12.5
2022-03-13, 2, 曇り, 12.0
2022-03-13, 3, 曇り, 12.0
2022-03-13, 4, 曇り, 11.5
2022-03-13, 5, 曇り, 11.5
2022-03-13, 6, 曇り, 10.5
2022-03-13, 7, 曇り, 11.0
2022-03-13, 8, 曇り, 12.5
2022-03-13, 9, 曇り, 15.0
2022-03-13, 10, 曇り, 16.5
2022-03-13, 11, 曇り, 19.0
2022-03-13, 12, 曇り, 21.0
2022-03-13, 13, 曇り, 21.0
2022-03-13, 14, 曇り, 21.5
2022-03-13, 15, 曇り, 20.7
2022-03-13, 16, 曇り, 19.7
2022-03-13, 17, 曇り, 18.6
2022-03-13, 18, 晴れ, 17.4
2022-03-13, 19, 晴れ, 16.2
2022-03-13, 20, 晴れ, 15.8
2022-03-13, 21, 晴れ, 14.8
2022-03-13, 22, 曇り, 14.1
2022-03-13, 23, 曇り, 13.5
