 date, hour, weather, temp, rainProb, rainMM, humid, windSpeed, windDir
 2022-03-13, 1, 曇り, 12.5, ---, 0, 78, 1, "東北東"
 2022-03-13, 2, 曇り, 12.0, ---, 0, 78, 1, "東北東"
 2022-03-13, 3, 曇り, 12.0, ---, 0, 80, 2, "北"
 2022-03-13, 4, 曇り, 11.5, ---, 0, 76, 1, "北西"
 2022-03-13, 5, 曇り, 11.5, ---, 0, 76, 2, "北東"
 2022-03-13, 6, 曇り, 10.5, ---, 0, 74, 1, "北西"
 2022-03-13, 7, 曇り, 11.0, ---, 0, 74, 1, "北"
 2022-03-13, 8, 曇り, 12.5, ---, 0, 66, 1, "北北西"
 2022-03-13, 9, 曇り, 15.0, ---, 0, 56, 1, "西"
 2022-03-13, 10, 曇り, 16.5, ---, 0, 50, 1, "北西"
 2022-03-13, 11, 曇り, 19.0, ---, 0, 46, 1, "南南西"
 2022-03-13, 12, 曇り, 21.0, ---, 0, 46, 3, "南南西"
 2022-03-13, 13, 曇り, 21.0, ---, 0, 44, 2, "南南西"
 2022-03-13, 14, 曇り, 21.5, ---, 0, 46, 2, "南南西"
 2022-03-13, 15, 曇り, 20.7, ---, 0, 50, 3, "南"
 2022-03-13, 16, 曇り, 19.7, ---, 0, 56, 3, "南"
 2022-03-13, 17, 曇り, 18.6, 10, 0, 66, 2, "南"
 2022-03-13, 18, 晴れ, 17.4, 10, 0, 76, 2, "南東"
 2022-03-13, 19, 晴れ, 16.2, 10, 0, 82, 1, "南東"
 2022-03-13, 20, 晴れ, 15.8, 20, 0, 86, 2, "南東"
 2022-03-13, 21, 晴れ, 14.8, 20, 0, 92, 2, "南東"
 2022-03-13, 22, 曇り, 14.1, 40, 0, 94, 2, "南東"
 2022-03-13, 23, 曇り, 13.5, 40, 0, 96, 2, "南東"
 2022-03-14, 0 ,曇り ,13.2, 40, 0, 92, 2, "南東"
 2022-03-14, 1, 弱雨, 13.1, 0, 1, --, 2, ""
 2022-03-14, 2, 弱雨, 12.7, 80, 2, 96, 2, "南東"
 2022-03-14, 3, 弱雨, 13.0, 70, 2, 96, 2, "南東"
 2022-03-14, 4, 弱雨, 13.2, 50, 1, 94, 3, "南南東"
 2022-03-14, 5, 弱雨, 12.8, 40, 1, 96, 1, "北西"
 2022-03-14, 6, 曇り, 12.1, 30, 1, 96, 1, "東南東"
 2022-03-14, 7, 曇り, 12.3, 30, 0, 98, 1, "南東"
 2022-03-14, 8, 曇り, 13.4, 20, 0, 98, 1, "東北東"
 2022-03-14, 9, 晴れ, 14.7, 20, 0, 98, 2, "北北西"
 2022-03-14, 10, 晴れ, 15.7, 10, 0, 94, 3, "北西"
 2022-03-14, 11, 晴れ, 16.8, 10, 0, 84, 3, "北西"
 2022-03-14, 12, 晴れ, 17.8, 10, 0, 76, 3, "北西"
 2022-03-14, 13, 晴れ, 18.8, 10, 0, 70, 3, "北西"
 2022-03-14, 14, 晴れ, 19.7, 10, 0, 64, 3, "北西"
 2022-03-14, 15, 晴れ, 20.2, 10, 0, 62, 3, "北西"
 2022-03-14, 16, 晴れ, 19.4, 10, 0, 60, 3, "北西"
 2022-03-14, 17, 晴れ, 18.4, 10, 0, 60, 2, "北西"
 2022-03-14, 18, 晴れ, 17.2, 10, 0, 68, 1, "北西"
 2022-03-14, 19, 晴れ, 16.2, 10, 0, 78, 1, "北"
 2022-03-14, 20, 晴れ, 15.4, 10, 0, 82, 1, "北北東"
 2022-03-14, 21, 曇り, 14.4, 20, 0, 88, 2, "南南東"
 2022-03-14, 22, 曇り, 13.8, 20, 0, 88, 1, "南南東"
 2022-03-14, 23, 曇り, 13.3, 40, 0, 94, 2, "南東"
 2022-03-15, 0, 曇り ,12.5, 40, 0, 94, 1, "東南東"
