-- -- -- -- (%) -- (%) -- unit>(m/s)</span></th>
2021-05-12 01 晴れ 16.0 --- 0 88 1 南西
2021-05-12 02 曇り 16.0 --- 0 90 1 西北西
2021-05-12 03 曇り 16.0 --- 0 90 1 北北西
2021-05-12 04 曇り 16.0 --- 0 88 1 北北西
2021-05-12 05 曇り 15.5 --- 0 88 1 北東
2021-05-12 06 曇り 16.0 --- 0 84 1 北東
2021-05-12 07 曇り 17.0 --- 0 76 1 北北東
2021-05-12 08 曇り 19.0 --- 0 68 1 北北東
2021-05-12 09 曇り 20.5 --- 0 62 1 北
2021-05-12 10 曇り 21.5 --- 0 58 1 南南東
2021-05-12 11 曇り 21.5 --- 0 56 3 南南東
2021-05-12 12 曇り 22.0 --- 0 54 4 南南東
2021-05-12 13 曇り 21.0 --- 0 52 4 南南東
2021-05-12 14 曇り 20.5 --- 0 52 5 南南東
2021-05-12 15 曇り 20.5 --- 0 54 4 南東
2021-05-12 16 小雨 19.5 --- 0 56 4 南南東
2021-05-12 17 小雨 18.9 --- 0 58 4 南南東
2021-05-12 18 小雨 17.3 40 0 64 4 南南東
2021-05-12 19 小雨 17.1 50 0 68 4 南南東
2021-05-12 20 曇り 17.0 30 0 70 3 南東
2021-05-12 21 曇り 16.8 30 0 72 3 南東
2021-05-12 22 曇り 16.5 40 0 76 3 南東
2021-05-12 23 曇り 16.4 30 0 62 2 東
2021-05-12 24 曇り 16.2 30 0 64 1 東北東
-- -- -- -- -- -- -- --
2021-05-13 01 小雨 17.5 --- 0 68 1 北北西
2021-05-13 02 小雨 16.0 --- 0 70 1 西北西
2021-05-13 03 小雨 16.5 --- 0 80 1 北西
2021-05-13 04 小雨 16.5 --- 0 86 2 北北西
2021-05-13 05 小雨 16.0 --- 0 88 1 北北西
2021-05-13 06 曇り 16.5 --- 0 90 2 北西
2021-05-13 07 曇り 16.5 --- 0 88 2 北
2021-05-13 08 曇り 17.5 --- 0 84 2 北北西
2021-05-13 09 曇り 19.0 --- 0 76 2 北
2021-05-13 10 曇り 21.0 --- 0 72 2 北西
2021-05-13 11 晴れ 23.0 --- 0 68 2 西北西
2021-05-13 12 晴れ 23.5 --- 0 66 1 南
2021-05-13 13 晴れ 25.0 --- 0 64 2 南南東
2021-05-13 14 晴れ 26.0 --- 0 64 3 南西
2021-05-13 15 晴れ 25.9 --- 0 64 3 南西
2021-05-13 16 晴れ 24.7 --- 0 64 3 西南西
2021-05-13 17 晴れ 23.5 10 0 66 3 西南西
2021-05-13 18 曇り 22.6 20 0 70 3 西
2021-05-13 19 曇り 21.3 10 0 74 2 西
2021-05-13 20 曇り 20.1 10 0 78 1 西南西
2021-05-13 21 曇り 19.2 0 0 86 1 南南東
2021-05-13 22 曇り 18.5 0 0 88 1 南東
2021-05-13 23 曇り 17.9 0 0 92 1 南東
2021-05-13 24 曇り 17.5 0 0 94 1 北北東
--  -- -- -- -- -- --
2021-05-14 01 曇り 20.0 --- 0 92 1 南南東
2021-05-14 02 晴れ 20.0 --- 0 94 1 南南東
2021-05-14 03 晴れ 19.5 --- 0 96 1 北北東
2021-05-14 04 晴れ 19.0 --- 0 96 1 南東
2021-05-14 05 晴れ 18.0 --- 0 96 1 西
2021-05-14 06 晴れ 19.5 --- 0 96 0 静穏
2021-05-14 07 晴れ 21.5 --- 0 88 1 北
2021-05-14 08 晴れ 24.0 --- 0 76 2 北北西
2021-05-14 09 晴れ 25.5 --- 0 68 2 西北西
2021-05-14 10 曇り 27.0 --- 0 60 2 北西
2021-05-14 11 曇り 28.0 --- 0 56 2 北西
2021-05-14 12 曇り 29.0 --- 0 56 1 北西
2021-05-14 13 曇り 29.5 --- 0 54 2 北西
2021-05-14 14 曇り 29.5 --- 0 54 2 西北西
2021-05-14 15 曇り 29.5 --- 0 54 2 西
2021-05-14 16 曇り 28.4 --- 0 54 2 西
2021-05-14 17 曇り 27.3 0 0 56 2 西南西
2021-05-14 18 晴れ 25.9 0 0 64 2 西南西
2021-05-14 19 晴れ 24.4 0 0 70 1 南南西
2021-05-14 20 晴れ 23.0 0 0 78 1 南南東
2021-05-14 21 晴れ 22.3 0 0 80 2 南東
2021-05-14 22 晴れ 21.6 0 0 82 2 南東
2021-05-14 23 晴れ 20.7 0 0 80 2 南東
2021-05-14 24 晴れ 20.0 0 0 82 2 南東
-- -- -- -- -- -- --
2021-05-20 01 曇り 19.0 --- 0 94 2 北
2021-05-20 02 曇り 18.5 --- 0 94 2 北
2021-05-20 03 曇り 18.0 --- 0 94 1 北西
2021-05-20 04 曇り 17.5 --- 0 94 2 北西
2021-05-20 05 曇り 17.0 --- 0 94 2 北北西
2021-05-20 06 曇り 17.5 --- 0 96 2 北
2021-05-20 07 曇り 18.0 --- 0 92 1 北北西
2021-05-20 08 曇り 18.5 --- 0 86 1 西
2021-05-20 09 曇り 19.5 --- 0 80 0 静穏
2021-05-20 10 小雨 20.0 --- 0 76 1 北東
2021-05-20 11 小雨 20.0 --- 0 78 0 静穏
2021-05-20 12 小雨 21.0 --- 0 82 1 南南東
2021-05-20 13 小雨 20.5 --- 0 90 1 東南東
2021-05-20 14 弱雨 20.8 --- 1 92 1 東南東
2021-05-20 15 弱雨 20.9 90 3 92 1 東
2021-05-20 16 雨 20.2 90 5 94 2 南東
2021-05-20 17 雨 20.0 100 4 94 4 南南東
2021-05-20 18 弱雨 20.1 100 2 96 5 南南東
2021-05-20 19 弱雨 20.1 100 3 92 4 南南東
2021-05-20 20 弱雨 20.2 100 3 94 3 南東
2021-05-20 21 弱雨 20.4 90 3 96 4 南南東
2021-05-20 22 弱雨 20.8 90 2 96 4 南南東
2021-05-20 23 弱雨 20.7 80 2 96 3 南南東
2021-05-20 24 弱雨 20.8 80 1 96 4 南南東
-- -- -- -- -- -- --
