 -- -- -- -- (%) -- (%) -- "unit">(m/s)</span></th>
 2021-08-28 01 晴れ 25.5 --- 0 54 1 "北"
 2021-08-28 02 晴れ 25.5 --- 0 56 1 "北北西"
 2021-08-28 03 晴れ 25.0 --- 0 62 1 "北西"
 2021-08-28 04 晴れ 25.0 --- 0 62 1 "北"
 2021-08-28 05 晴れ 24.5 --- 0 64 1 "北北西"
 2021-08-28 06 晴れ 24.5 --- 0 68 1 "北"
 2021-08-28 07 晴れ 26.5 --- 0 70 1 "北"
 2021-08-28 08 晴れ 28.5 --- 0 68 1 "北"
 2021-08-28 09 晴れ 30.5 --- 0 60 2 "北西"
 2021-08-28 10 晴れ 32.0 --- 0 56 2 "北西"
 2021-08-28 11 晴れ 33.5 --- 0 56 4 "西北西"
 2021-08-28 12 晴れ 34.5 --- 0 52 3 "西北西"
 2021-08-28 13 晴れ 35.0 --- 0 48 3 "西北西"
 2021-08-28 14 晴れ 35.5 --- 0 44 4 "西北西"
 2021-08-28 15 晴れ 35.0 --- 0 42 4 "西北西"
 2021-08-28 16 晴れ 33.7 0 0 48 5 "西北西"
 2021-08-28 17 晴れ 31.7 0 0 54 5 "北西"
 2021-08-28 18 晴れ 30.3 0 0 60 4 "北西"
 2021-08-28 19 晴れ 29.3 0 0 64 3 "北北西"
 2021-08-28 20 晴れ 28.7 0 0 68 3 "北北西"
 2021-08-28 21 晴れ 28.0 0 0 72 3 "北北西"
 2021-08-28 22 晴れ 27.6 0 0 74 3 "北北西"
 2021-08-28 23 晴れ 26.9 0 0 72 3 "北西"
 2021-08-28 24 晴れ 26.5 0 0 70 2 "北西"
 -- -- 晴れ -- -- -- (%) -- --
 2021-08-29 01 晴れ 26.0 (%) 0 -- 2 "北北西"
 2021-08-29 02 晴れ 25.6 0 0 68 2 "北北西"
 2021-08-29 03 晴れ 25.2 0 0 66 2 "北北西"
 2021-08-29 04 晴れ 24.7 0 0 66 2 "北北西"
 2021-08-29 05 晴れ 24.2 0 0 68 2 "北北西"
 2021-08-29 06 晴れ 24.0 0 0 68 2 "北北西"
 2021-08-29 07 晴れ 25.4 0 0 66 2 "北北西"
 2021-08-29 08 晴れ 27.3 0 0 58 2 "北北西"
 2021-08-29 09 晴れ 29.2 0 0 48 2 "北北西"
 2021-08-29 10 晴れ 31.0 0 0 38 2 "北西"
 2021-08-29 11 晴れ 32.6 0 0 32 2 "北西"
 2021-08-29 12 晴れ 34.0 0 0 28 1 "西北西"
 2021-08-29 13 晴れ 34.9 0 0 28 2 "西北西"
 2021-08-29 14 晴れ 35.6 0 0 28 2 "西"
 2021-08-29 15 晴れ 35.3 0 0 30 3 "西"
 2021-08-29 16 晴れ 34.5 0 0 32 3 "西"
 2021-08-29 17 晴れ 32.8 0 0 38 3 "西北西"
 2021-08-29 18 晴れ 31.2 0 0 44 3 "西北西"
 2021-08-29 19 晴れ 30.0 0 0 48 4 "西北西"
 2021-08-29 20 晴れ 29.1 0 0 46 3 "北西"
 2021-08-29 21 晴れ 28.2 0 0 44 3 "北西"
 2021-08-29 22 晴れ 27.5 0 0 42 2 "北西"
 2021-08-29 23 晴れ 26.8 0 0 42 2 "北西"
 2021-08-29 24 晴れ  26.3 0 0 44 1 "北西"
 -- -- 晴れ -- -- -- (%) -- --
 2021-08-30 01 晴れ 25.8 (%) 0 -- 1 "北"
 2021-08-30 02 晴れ 25.4 0 0 68 1 "北"
 2021-08-30 03 晴れ 25.0 0 0 66 1 "北"
 2021-08-30 04 晴れ 24.7 0 0 66 1 "北"
 2021-08-30 05 晴れ 24.2 0 0 68 1 "北"
 2021-08-30 06 晴れ 24.2 0 0 68 1 "北"
 2021-08-30 07 晴れ 25.5 0 0 66 1 "北"
 2021-08-30 08 晴れ 27.2 0 0 58 1 "北北西"
 2021-08-30 09 晴れ 29.1 0 0 48 1 "北北西"
 2021-08-30 10 晴れ 30.9 0 0 38 1 "西"
 2021-08-30 11 晴れ 32.3 0 0 32 2 "西"
 2021-08-30 12 晴れ 33.4 0 0 28 2 "西"
 2021-08-30 13 晴れ 34.5 0 0 28 3 "西北西"
 2021-08-30 14 晴れ 34.7 0 0 28 3 "西北西"
 2021-08-30 15 晴れ 33.9 0 0 30 4 "西北西"
 2021-08-30 16 晴れ 33.1 0 0 32 4 "西北西"
 2021-08-30 17 晴れ 31.9 0 0 38 4 "西北西"
 2021-08-30 18 晴れ 30.7 0 0 44 4 "北西"
 2021-08-30 19 晴れ 29.8 0 0 48 4 "北西"
 2021-08-30 20 晴れ 29.0 0 0 46 3 "北西"
 2021-08-30 21 晴れ 28.3 0 0 44 3 "北西"
 2021-08-30 22 晴れ 27.5 0 0 42 3 "北西"
 2021-08-30 23 晴れ 26.9 0 0 42 3 "北西"
 2021-08-30 24 晴れ 26.3 0 0 44 3 "北西"
