date,hour,weather,temp,rainProb,rainMM,humid,windSpeed,windDir
2022-09-27,01,"晴れ",23.5,---,0,88,1,"東"
2022-09-27,02,"晴れ",23.5,---,0,86,1,"北東"
2022-09-27,03,"晴れ",23.5,---,0,88,1,"北"
2022-09-27,04,"晴れ",23.5,---,0,88,1,"北東"
2022-09-27,05,"晴れ",23.5,---,0,90,1,"北東"
2022-09-27,06,"曇り",23.0,---,0,90,1,"北"
2022-09-27,07,"曇り",24.0,---,0,88,1,"北"
2022-09-27,08,"晴れ",25.0,---,0,82,1,"北北西"
2022-09-27,09,"曇り",26.5,---,0,74,2,"北北西"
2022-09-27,10,"晴れ",27.5,---,0,70,2,"北"
2022-09-27,11,"晴れ",28.5,---,0,68,1,"東"
2022-09-27,12,"晴れ",30.0,---,0,62,2,"南南東"
2022-09-27,13,"晴れ",30.5,---,0,62,3,"南"
2022-09-27,14,"曇り",29.0,---,0,66,3,"南南西"
2022-09-27,15,"曇り",28.5,---,0,60,3,"南南西"
2022-09-27,16,"曇り",28.0,---,0,60,4,"南南西"
2022-09-27,17,"曇り",27.0,---,0,64,3,"南南西"
2022-09-27,18,"小雨",25.0,---,0,88,3,"南西"
2022-09-27,19,"弱雨",22.0,---,1,90,1,"西北西"
2022-09-27,20,"小雨",22.0,---,0,92,1,"北"
2022-09-27,21,"小雨",21.7,---,0,94,2,"北北西"
2022-09-27,22,"小雨",21.6,50,0,94,1,"北"
2022-09-27,23,"小雨",21.3,50,0,94,1,"北"
