date,hour,weather,temp,rainProb,rainMM,humid,windSpeed,windDir
2022-07-29,01,"小雨",27.0,---,0,90,1,"南東"
2022-07-29,02,"晴れ",26.5,---,0,90,1,"東南東"
2022-07-29,03,"晴れ",26.5,---,0,94,1,"北東"
2022-07-29,04,"晴れ",26.5,---,0,94,1,"東北東"
2022-07-29,05,"晴れ",26.0,---,0,92,1,"東"
2022-07-29,06,"晴れ",27.0,---,0,92,2,"北東"
2022-07-29,07,"晴れ",28.5,---,0,86,1,"東北東"
2022-07-29,08,"晴れ",30.5,---,0,78,1,"東南東"
2022-07-29,09,"晴れ",31.5,---,0,70,2,"南南東"
2022-07-29,10,"晴れ",32.5,---,0,68,2,"南東"
2022-07-29,11,"晴れ",33.3,---,0,68,2,"南南東"
2022-07-29,12,"晴れ",33.6,10,0,68,2,"南"
2022-07-29,13,"晴れ",34.1,0,0,68,3,"南"
2022-07-29,14,"晴れ",34.0,0,0,66,3,"南"
2022-07-29,15,"晴れ",33.4,0,0,66,3,"南"
2022-07-29,16,"晴れ",32.4,0,0,66,4,"南"
2022-07-29,17,"晴れ",31.1,0,0,68,4,"南"
2022-07-29,18,"晴れ",30.1,0,0,74,4,"南"
2022-07-29,19,"晴れ",29.2,10,0,76,4,"南南東"
2022-07-29,20,"晴れ",28.4,10,0,78,3,"南南東"
2022-07-29,21,"晴れ",28.1,10,0,80,2,"南南東"
2022-07-29,22,"晴れ",27.7,10,0,82,2,"南東"
2022-07-29,23,"晴れ",27.3,0,0,84,2,"南東"
2022-07-30,0,"晴れ",26.9,0,0,84,1,"東"
2022-07-30,01,"晴れ",26.5,(%),0,--,1,"東"
2022-07-30,02,"晴れ",26.2,0,0,86,1,"東"
2022-07-30,03,"晴れ",25.8,0,0,86,1,"東"
2022-07-30,04,"晴れ",25.4,0,0,84,1,"東"
2022-07-30,05,"晴れ",25.0,0,0,84,1,"東北東"
2022-07-30,06,"晴れ",25.6,0,0,84,2,"東北東"
2022-07-30,07,"晴れ",26.9,0,0,84,1,"北東"
2022-07-30,08,"晴れ",28.5,10,0,78,1,"東北東"
2022-07-30,09,"晴れ",29.9,10,0,72,2,"東"
2022-07-30,10,"晴れ",31.0,10,0,70,3,"南東"
2022-07-30,11,"晴れ",31.9,10,0,68,3,"南南東"
2022-07-30,12,"晴れ",32.6,10,0,66,3,"南南東"
2022-07-30,13,"晴れ",33.2,10,0,66,4,"南"
2022-07-30,14,"晴れ",33.1,10,0,66,4,"南"
2022-07-30,15,"晴れ",32.7,10,0,66,4,"南"
2022-07-30,16,"晴れ",31.8,10,0,68,4,"南"
2022-07-30,17,"晴れ",31.0,10,0,66,4,"南"
2022-07-30,18,"晴れ",30.4,10,0,67,4,"南"
2022-07-30,19,"晴れ",29.5,10,0,72,3,"南"
2022-07-30,20,"晴れ",28.8,10,0,76,3,"南"
2022-07-30,21,"晴れ",28.3,10,0,80,2,"南南東"
2022-07-30,22,"晴れ",27.9,10,0,83,2,"南南東"
2022-07-30,23,"晴れ",27.7,10,0,87,2,"南南東"
2022-07-31,0,"晴れ",27.4,10,0,88,1,"南東"
